cores,N,run,gflops,time_seconds
1,5000,1,2.537e+00,326.081
2,5500,1,4.445e+00,196.444
4,6000,1,4.932e+00,269.701
8,8000,1,4.307e+00,577.457
16,11000,1,6.844e+00,754.125
24,13000,1,8.700e+00,964.762
32,15000,1,1.192e+01,984.028
1,5000,2,2.547e+00,323.726
2,5500,2,4.483e+00,195.508
4,6000,2,5.131e+00,265.601
8,8000,2,4.117e+00,601.488
16,11000,2,ERROR,744.570
24,13000,2,8.591e+00,946.182
32,15000,2,ERROR,625.522
1,5000,3,2.546e+00,324.793
2,5500,3,4.481e+00,197.098
4,6000,3,5.135e+00,266.066
8,8000,3,ERROR,311.359
16,11000,3,ERROR,738.755
24,13000,3,8.430e+00,941.386
32,15000,3,1.140e+01,1044.119
1,5000,4,2.543e+00,324.091
2,5500,4,4.477e+00,196.287
4,6000,4,5.091e+00,266.605
8,8000,4,ERROR,309.818
16,11000,4,ERROR,306.890
24,13000,4,8.547e+00,953.037
32,15000,4,ERROR,628.100
1,5000,5,2.541e+00,323.816
2,5500,5,4.493e+00,194.444
4,6000,5,5.120e+00,265.489
8,8000,5,ERROR,529.532
16,11000,5,ERROR,316.192
24,13000,5,8.610e+00,964.928
32,15000,5,1.135e+01,1001.540
