cores,N,run,time_seconds
1,2000,1,78.463657
2,2000,1,40.984587
4,2000,1,29.009624
8,2000,1,20.831539
16,2000,1,22.287342
32,2000,1,17.694926
1,2000,2,78.528307
2,2000,2,40.958127
4,2000,2,29.031211
8,2000,2,20.712147
16,2000,2,22.385718
32,2000,2,18.248305
1,2000,3,78.574999
2,2000,3,40.983604
4,2000,3,29.644802
8,2000,3,21.085731
16,2000,3,22.167148
32,2000,3,17.626617
1,2000,4,78.509769
2,2000,4,41.054228
4,2000,4,29.735540
8,2000,4,20.921279
16,2000,4,22.522601
32,2000,4,18.122049
1,2000,5,78.091207
2,2000,5,40.724500
4,2000,5,28.533488
8,2000,5,19.774013
16,2000,5,21.417259
32,2000,5,17.124329
