cores,N,run,time_seconds
1,1500,1,32.816532
2,1500,1,17.002091
4,1500,1,12.441547
8,1500,1,9.539482
16,1500,1,10.848353
32,1500,1,9.147283
1,1500,2,32.846523
2,1500,2,17.027957
4,1500,2,12.057832
8,1500,2,9.415847
16,1500,2,10.702935
32,1500,2,9.002827
1,1500,3,32.888747
2,1500,3,17.037990
4,1500,3,12.030043
8,1500,3,9.476958
16,1500,3,10.857085
32,1500,3,9.132949
1,1500,4,32.844685
2,1500,4,17.042591
4,1500,4,12.277832
8,1500,4,9.535552
16,1500,4,10.700517
32,1500,4,9.281402
1,1500,5,32.902919
2,1500,5,17.024842
4,1500,5,12.243886
8,1500,5,9.467561
16,1500,5,10.684138
32,1500,5,9.220417
