cores,problem_size,run,time_seconds,pi_estimate
1,1M,1,0.200334,3.1409
2,1M,1,0.100343,3.1416
4,1M,1,0.057435,3.1393
8,1M,1,0.043531,3.1411
16,1M,1,0.069080,3.1397
32,1M,1,0.073963,3.1402
1,10M,1,2.000763,3.1413
2,10M,1,1.000964,3.1412
4,10M,1,0.504733,3.1413
8,10M,1,0.289508,3.1416
16,10M,1,0.447366,3.1419
32,10M,1,0.190511,3.1419
1,100M,1,20.036167,3.1415
2,100M,1,10.007308,3.1415
4,100M,1,5.291221,3.1417
8,100M,1,2.713820,3.1417
16,100M,1,2.786733,3.1418
32,100M,1,1.575888,3.1416
1,1B,1,200.330381,3.1416
2,1B,1,100.157673,3.1415
4,1B,1,51.503448,3.1416
8,1B,1,25.788737,3.1416
16,1B,1,25.274072,3.1415
32,1B,1,12.396926,3.1416
1,10B,1,2001.787467,3.1416
2,10B,1,1000.725738,3.1416
4,10B,1,507.925085,3.1416
8,10B,1,254.126423,3.1416
16,10B,1,246.350562,3.1416
32,10B,1,123.539159,3.1416
1,1M,2,0.200256,3.1403
2,1M,2,0.100312,3.1427
4,1M,2,0.051165,3.1408
8,1M,2,0.043576,3.1399
16,1M,2,0.068126,3.1414
32,1M,2,0.065398,3.1420
1,10M,2,2.000699,3.1417
2,10M,2,1.001026,3.1425
4,10M,2,0.504585,3.1419
8,10M,2,0.272746,3.1423
16,10M,2,0.294949,3.1412
32,10M,2,0.181639,3.1415
1,100M,2,20.017816,3.1417
2,100M,2,10.008514,3.1417
4,100M,2,5.080012,3.1415
8,100M,2,2.636238,3.1413
16,100M,2,2.563204,3.1412
32,100M,2,1.319276,3.1417
1,1B,2,200.161805,3.1417
2,1B,2,100.050283,3.1416
4,1B,2,50.844713,3.1416
8,1B,2,25.626923,3.1415
16,1B,2,24.841433,3.1415
32,1B,2,12.515852,3.1415
1,10B,2,2001.673592,3.1416
2,10B,2,1000.725971,3.1416
4,10B,2,507.789111,3.1416
8,10B,2,254.255859,3.1416
16,10B,2,246.283298,3.1416
32,10B,2,123.650314,3.1416
1,1M,3,0.200172,3.1427
2,1M,3,0.100282,3.1417
4,1M,3,0.054131,3.1417
8,1M,3,0.046254,3.1426
16,1M,3,0.067035,3.1380
32,1M,3,0.090080,3.1413
1,10M,3,2.003547,3.1416
2,10M,3,1.000504,3.1417
4,10M,3,0.520360,3.1417
8,10M,3,0.268999,3.1420
16,10M,3,0.296293,3.1412
32,10M,3,0.179913,3.1410
1,100M,3,20.016123,3.1417
2,100M,3,10.004635,3.1414
4,100M,3,6.446706,3.1413
8,100M,3,2.573188,3.1416
16,100M,3,2.599759,3.1414
32,100M,3,1.332298,3.1416
1,1B,3,200.168478,3.1416
2,1B,3,100.079398,3.1416
4,1B,3,50.878742,3.1415
8,1B,3,25.517601,3.1416
16,1B,3,24.686304,3.1416
32,1B,3,12.451252,3.1416
1,10B,3,2001.687787,3.1416
2,10B,3,1000.645650,3.1416
4,10B,3,508.026365,3.1416
8,10B,3,254.490812,3.1416
16,10B,3,246.924424,3.1416
32,10B,3,123.006946,3.1416
1,0.1M,1,0.020087,3.1414
1,0.1M,2,0.020089,3.1466
1,0.1M,3,0.020093,3.1497
1,0.1M,4,0.020180,3.1400
1,0.1M,5,0.020117,3.1466
2,0.1M,1,0.010105,3.1413
2,0.1M,2,0.010231,3.1398
2,0.1M,3,0.010082,3.1444
2,0.1M,4,0.010125,3.1336
2,0.1M,5,0.010151,3.1446
4,0.1M,1,0.005161,3.1421
4,0.1M,2,0.005249,3.1434
4,0.1M,3,0.005311,3.1510
4,0.1M,4,0.005188,3.1334
4,0.1M,5,0.005265,3.1405
8,0.1M,1,0.020863,3.1458
8,0.1M,2,0.021128,3.1471
8,0.1M,3,0.020823,3.1369
8,0.1M,4,0.020695,3.1419
8,0.1M,5,0.021081,3.1455
16,0.1M,1,0.044896,3.1528
16,0.1M,2,0.043903,3.1402
16,0.1M,3,0.044176,3.1492
16,0.1M,4,0.044352,3.1402
16,0.1M,5,0.044352,3.1402
32,0.1M,1,0.239734,3.1344
32,0.1M,3,0.217800,3.1442
