nodes,width,height,run,seq1,parallel,seq2,total
2,400,300,1,0.002,4.019,0.071,4.092
4,400,300,1,0.002,4.027,0.075,4.104
8,400,300,1,0.004,4.057,0.083,4.144
2,400,300,2,0.002,3.014,0.054,3.070
4,400,300,2,0.003,4.031,0.055,4.089
8,400,300,2,0.003,4.060,0.086,4.149
2,400,300,3,0.003,3.018,0.073,3.094
4,400,300,3,0.002,4.028,0.055,4.085
8,400,300,3,0.002,4.048,0.083,4.133
2,400,300,4,0.003,3.016,0.052,3.071
4,400,300,4,0.003,4.030,0.055,4.088
8,400,300,4,0.002,4.049,0.080,4.131
2,400,300,5,0.004,3.020,0.073,3.097
4,400,300,5,0.003,4.028,0.077,4.108
8,400,300,5,0.002,4.051,0.087,4.140
2,800,600,1,0.004,5.024,0.197,5.225
4,800,600,1,0.003,6.035,0.162,6.200
8,800,600,1,0.003,5.059,0.202,5.264
2,800,600,2,0.002,5.023,0.198,5.223
4,800,600,2,0.003,6.037,0.163,6.203
8,800,600,2,0.004,5.058,0.166,5.228
2,800,600,3,0.002,5.020,0.157,5.179
4,800,600,3,0.002,6.035,0.197,6.234
8,800,600,3,0.003,5.056,0.167,5.226
2,800,600,4,0.004,5.025,0.196,5.225
4,800,600,4,0.004,6.035,0.198,6.237
8,800,600,4,0.003,5.052,0.166,5.221
2,800,600,5,0.003,5.024,0.191,5.218
4,800,600,5,0.003,6.036,0.161,6.200
8,800,600,5,0.003,5.056,0.204,5.263
2,1600,1200,1,0.002,13.040,0.570,13.612
4,1600,1200,1,0.003,14.060,0.654,14.717
8,1600,1200,1,0.003,11.069,0.627,11.699
2,1600,1200,2,0.003,13.042,0.541,13.586
4,1600,1200,2,0.003,13.053,0.641,13.697
8,1600,1200,2,0.004,11.068,0.660,11.732
2,1600,1200,3,0.003,13.039,0.573,13.615
4,1600,1200,3,0.003,14.054,0.639,14.696
8,1600,1200,3,0.002,10.060,0.621,10.683
2,1600,1200,4,0.004,13.041,0.576,13.621
4,1600,1200,4,0.003,13.051,0.614,13.668
8,1600,1200,4,0.003,11.069,0.649,11.721
2,1600,1200,5,0.002,13.044,0.558,13.604
4,1600,1200,5,0.003,13.055,0.659,13.717
8,1600,1200,5,0.003,9.063,0.652,9.718
2,3200,2400,1,0.002,44.117,2.125,46.244
4,3200,2400,1,0.002,41.112,2.257,43.371
8,3200,2400,1,0.003,30.122,2.498,32.623
2,3200,2400,2,0.002,44.116,2.087,46.205
4,3200,2400,2,0.003,42.125,2.228,44.356
8,3200,2400,2,0.004,28.112,2.516,30.632
2,3200,2400,3,0.002,44.111,1.371,45.484
4,3200,2400,3,0.003,41.119,1.958,43.080
8,3200,2400,3,0.002,28.105,2.311,30.418
2,3200,2400,4,0.003,44.112,1.368,45.483
4,3200,2400,4,0.002,42.119,1.982,44.103
2,3200,2400,5,0.003,44.115,1.330,45.448
4,3200,2400,5,0.003,43.125,1.985,45.113
8,3200,2400,5,0.003,28.109,2.353,30.465
8,3200,2400,4,0.002,28.103,2.314,30.419
1,400,300,1,0.003,4.017,0.006,4.026
1,400,300,2,0.004,3.014,0.007,3.025
1,400,300,3,0.004,3.011,0.005,3.020
1,400,300,4,0.002,3.011,0.005,3.018
1,400,300,5,0.002,3.013,0.006,3.021
1,800,600,1,0.003,6.019,0.005,6.027
1,800,600,2,0.003,6.020,0.005,6.028
1,800,600,3,0.003,6.020,0.005,6.028
1,800,600,4,0.002,6.017,0.005,6.024
1,800,600,5,0.003,6.026,0.006,6.035
1,1600,1200,1,0.003,16.045,0.008,16.056
1,1600,1200,2,0.002,16.040,0.006,16.048
1,1600,1200,3,0.003,16.046,0.007,16.056
1,1600,1200,4,0.003,16.043,0.006,16.052
1,1600,1200,5,0.003,16.042,0.006,16.051
1,3200,2400,1,0.003,55.134,0.012,55.149
1,3200,2400,2,0.003,55.133,0.008,55.144
1,3200,2400,3,0.002,55.137,0.010,55.149
1,3200,2400,4,0.002,55.131,0.008,55.141
1,3200,2400,5,0.002,55.134,0.011,55.147
